Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1_ProductNavigation,Edge Chromium 129,,,28-09-2024 11:34:22,28-09-2024 11:36:37,2m - 14.677s,PASSED
,,,,,,,
Test Cases/TC1_ProductNavigation_Dogs,Edge Chromium 129,,,28-09-2024 11:34:22,28-09-2024 11:36:37,2m - 14.360s,PASSED
"openBrowser("""")",Edge Chromium 129,,,28-09-2024 11:34:23,28-09-2024 11:34:29,6.181s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 129,,,28-09-2024 11:34:29,28-09-2024 11:34:30,1.407s,PASSED
"click(findTestObject(""Object Repository/a_Enter the Store""))",Edge Chromium 129,,,28-09-2024 11:34:30,28-09-2024 11:34:32,1.857s,PASSED
"click(findTestObject(""Object Repository/img""))",Edge Chromium 129,,,28-09-2024 11:34:32,28-09-2024 11:34:33,0.590s,PASSED
"click(findTestObject(""Object Repository/a_K9-BD-01""))",Edge Chromium 129,,,28-09-2024 11:34:33,28-09-2024 11:34:33,0.565s,PASSED
"click(findTestObject(""Object Repository/a_Add to Cart""))",Edge Chromium 129,,,28-09-2024 11:34:33,28-09-2024 11:34:34,0.574s,PASSED
"click(findTestObject(""Object Repository/a_Proceed to Checkout""))",Edge Chromium 129,,,28-09-2024 11:34:34,28-09-2024 11:34:35,0.562s,PASSED
"setText(findTestObject(""Object Repository/input_Need a user name and password_username""), ""radhika4"")",Edge Chromium 129,,,28-09-2024 11:34:35,28-09-2024 11:35:38,1m - 3.128s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_Need a user name and password_password""), ""vgV/8XGf0hOMjcQZyLcRQw=="")",Edge Chromium 129,,,28-09-2024 11:35:38,28-09-2024 11:35:38,0.375s,PASSED
"click(findTestObject(""Object Repository/input_Need a user name and password_signon""))",Edge Chromium 129,,,28-09-2024 11:35:38,28-09-2024 11:36:36,58.224s,PASSED
closeBrowser(),Edge Chromium 129,,,28-09-2024 11:36:36,28-09-2024 11:36:37,0.300s,PASSED
